timestamp,TDS,turbidity,temperature,pH,status,cause
2025-01-01 00:00:00,735.91,13.3,46.09,6.74,Warning,"TDS Warning, Turbidity Warning, Temp Warning"
2025-01-01 00:10:00,717.53,16.98,51.26,6.88,Warning,High Temp
2025-01-01 00:20:00,593.72,4.3,27.94,7.4,Safe,
2025-01-01 00:30:00,477.2,16.48,39.42,6.79,Warning,Turbidity Warning
2025-01-01 00:40:00,392.8,11.23,35.66,6.28,Safe,Turbidity Warning
2025-01-01 00:50:00,345.37,8.79,34.67,6.68,Safe,
2025-01-01 01:00:00,708.42,15.75,41.34,6.82,Warning,"TDS Warning, Turbidity Warning, Temp Warning"
2025-01-01 01:10:00,488.96,11.09,39.46,7.36,Safe,Turbidity Warning
2025-01-01 01:20:00,491.71,8.91,26.06,7.27,Safe,
2025-01-01 01:30:00,840.0719632074471,19.688016693505084,54.30361580764093,6.411610664979307,Danger,High Temp
2025-01-01 01:40:00,620.96,7.31,39.3,7.12,Safe,TDS Warning
2025-01-01 01:50:00,721.8,5.25,32.41,7.42,Safe,TDS Warning
2025-01-01 02:00:00,495.49,15.03,24.62,7.09,Warning,Turbidity Warning
2025-01-01 02:10:00,555.14,12.13,34.15,7.0,Safe,Turbidity Warning
2025-01-01 02:20:00,359.49,12.09,36.2,7.06,Safe,Turbidity Warning
2025-01-01 02:30:00,485.7,8.16,42.09,6.99,Warning,Temp Warning
2025-01-01 02:40:00,427.19,5.44,32.53,7.38,Safe,
2025-01-01 02:50:00,130.42,4.3,25.23,6.92,Safe,
2025-01-01 03:00:00,325.81,7.61,29.47,7.01,Safe,
2025-01-01 03:10:00,541.35,41.5,53.72,7.68,Danger,"High Turbidity, High Temp"
2025-01-01 03:20:00,413.26,8.2,35.67,7.38,Safe,
2025-01-01 03:30:00,450.05,6.74,33.83,7.04,Safe,
2025-01-01 03:40:00,528.06,4.2,40.32,7.48,Safe,Temp Warning
2025-01-01 03:50:00,574.56,12.44,41.3,6.48,Safe,"Turbidity Warning, Temp Warning"
2025-01-01 04:00:00,604.09,8.03,38.25,7.0,Safe,TDS Warning
2025-01-01 04:10:00,581.0,7.43,33.71,7.14,Safe,
2025-01-01 04:20:00,496.17,16.42,34.94,6.84,Warning,Turbidity Warning
2025-01-01 04:30:00,634.55,11.34,44.53,6.89,Warning,"TDS Warning, Turbidity Warning, Temp Warning"
2025-01-01 04:40:00,634.05,9.36,39.77,6.94,Safe,TDS Warning
2025-01-01 04:50:00,550.0563749724624,20.840119166920086,52.40701242811916,6.666344577822095,Danger,High Temp
2025-01-01 05:00:00,295.87,4.45,21.12,7.15,Safe,
2025-01-01 05:10:00,397.25,5.2,35.02,6.96,Safe,
2025-01-01 05:20:00,263.18,5.64,29.86,7.02,Safe,
2025-01-01 05:30:00,389.29,4.48,38.01,7.09,Safe,
2025-01-01 05:40:00,820.07,9.43,35.82,6.74,Safe,TDS Warning
2025-01-01 05:50:00,649.44,11.23,38.06,6.85,Safe,"TDS Warning, Turbidity Warning"
2025-01-01 06:00:00,462.18,0.0,30.83,7.1,Safe,
2025-01-01 06:10:00,654.41,7.13,40.52,6.62,Safe,"TDS Warning, Temp Warning"
2025-01-01 06:20:00,571.99,11.03,31.05,6.83,Safe,Turbidity Warning
2025-01-01 06:30:00,786.9944764992425,16.391732258153258,55.017228386954784,6.632425161414564,Danger,High Temp
2025-01-01 06:40:00,326.57,8.9,38.64,7.48,Safe,
2025-01-01 06:50:00,305.05,5.61,27.75,7.56,Safe,
2025-01-01 07:00:00,525.37,14.9,41.98,6.77,Safe,"Turbidity Warning, Temp Warning"
2025-01-01 07:10:00,402.91,5.13,28.97,7.21,Safe,
2025-01-01 07:20:00,433.53,7.92,31.4,7.34,Safe,
2025-01-01 07:30:00,429.08,3.01,38.34,6.98,Safe,
2025-01-01 07:40:00,378.95,8.27,32.31,6.68,Safe,
2025-01-01 07:50:00,631.28,12.16,38.41,6.33,Safe,"TDS Warning, Turbidity Warning"
2025-01-01 08:00:00,602.55,4.97,34.85,6.31,Safe,TDS Warning
2025-01-01 08:10:00,543.0721772569514,15.037238301934414,52.596383831638505,6.837680609577694,Danger,High Temp
2025-01-01 08:20:00,557.36,7.94,35.31,7.44,Safe,
2025-01-01 08:30:00,344.09,10.33,36.26,7.26,Safe,Turbidity Warning
2025-01-01 08:40:00,325.92,17.53,44.63,6.56,Warning,"Turbidity Warning, Temp Warning"
2025-01-01 08:50:00,253.85,8.78,28.3,7.04,Safe,
2025-01-01 09:00:00,435.1,2.07,30.99,7.2,Safe,
2025-01-01 09:10:00,490.88,3.27,36.25,6.66,Safe,
2025-01-01 09:20:00,741.62,7.99,33.84,7.22,Safe,TDS Warning
2025-01-01 09:30:00,400.47,13.41,41.84,6.89,Safe,"Turbidity Warning, Temp Warning"
2025-01-01 09:40:00,588.91,10.25,40.8,7.14,Safe,"Turbidity Warning, Temp Warning"
2025-01-01 09:50:00,641.7869850749446,18.56947553114908,53.49772615149681,6.532954945893996,Danger,High Temp
2025-01-01 10:00:00,439.49,20.14,29.8,7.11,Warning,Turbidity Warning
2025-01-01 10:10:00,493.1,4.73,26.93,7.35,Safe,
2025-01-01 10:20:00,650.27,0.0,39.3,7.09,Safe,TDS Warning
2025-01-01 10:30:00,242.14,10.06,33.66,6.68,Safe,Turbidity Warning
2025-01-01 10:40:00,621.64,6.97,36.54,6.93,Safe,TDS Warning
2025-01-01 10:50:00,309.83,9.08,32.02,6.78,Safe,
2025-01-01 11:00:00,577.46,11.24,35.62,6.26,Safe,Turbidity Warning
2025-01-01 11:10:00,319.59,12.62,35.2,6.96,Safe,Turbidity Warning
2025-01-01 11:20:00,171.64,10.73,36.19,7.1,Safe,Turbidity Warning
2025-01-01 11:30:00,1128.77,19.03,43.2,7.25,Danger,High TDS
2025-01-01 11:40:00,427.73,9.89,30.28,7.32,Safe,
2025-01-01 11:50:00,303.1,0.19,27.48,7.79,Safe,
2025-01-01 12:00:00,634.22,14.54,49.83,7.0,Warning,"TDS Warning, Turbidity Warning, Temp Warning"
2025-01-01 12:10:00,533.21,10.46,42.03,6.97,Warning,"Turbidity Warning, Temp Warning"
2025-01-01 12:20:00,477.71,15.9,41.11,7.14,Warning,"Turbidity Warning, Temp Warning"
2025-01-01 12:30:00,492.57,5.43,36.6,7.14,Safe,
2025-01-01 12:40:00,696.96,10.07,38.39,7.0,Safe,"TDS Warning, Turbidity Warning"
2025-01-01 12:50:00,496.19,0.0,23.57,7.16,Safe,
2025-01-01 13:00:00,494.74,9.47,35.95,7.15,Safe,
2025-01-01 13:10:00,841.6417620298564,19.780998428916774,54.20777151894369,6.485665102537663,Danger,High Temp
2025-01-01 13:20:00,646.82,10.43,36.96,7.05,Safe,"TDS Warning, Turbidity Warning"
2025-01-01 13:30:00,381.26,11.44,34.21,6.93,Safe,Turbidity Warning
2025-01-01 13:40:00,536.38,9.77,32.82,7.43,Safe,
2025-01-01 13:50:00,477.04,5.86,27.01,7.49,Safe,
2025-01-01 14:00:00,553.49,4.98,38.02,7.03,Safe,
2025-01-01 14:10:00,547.59,12.41,42.21,6.84,Warning,"Turbidity Warning, Temp Warning"
2025-01-01 14:20:00,369.93,0.0,29.7,7.32,Safe,
2025-01-01 14:30:00,579.33,10.26,38.43,6.69,Safe,Turbidity Warning
2025-01-01 14:40:00,626.94,20.35,51.22,7.04,Warning,High Temp
2025-01-01 14:50:00,718.6910810288211,16.18348950265462,54.92721596007722,6.608368324484591,Danger,High Temp
2025-01-01 15:00:00,669.28,1.61,29.26,6.9,Safe,TDS Warning
2025-01-01 15:10:00,498.85,14.23,38.16,6.97,Safe,Turbidity Warning
2025-01-01 15:20:00,637.12,14.15,41.22,6.8,Safe,"TDS Warning, Turbidity Warning, Temp Warning"
2025-01-01 15:30:00,393.46,7.46,32.34,7.12,Safe,
2025-01-01 15:40:00,349.69,0.0,35.04,6.9,Safe,
